Label,text,text_norm
1,"Penasaran mulu tiap denger T0GEL62, padahal udah tau isinya",penasaran mulu tiap denger t0gel62 padahal udah tau isinya
1,Nggak semua yang bikin nagih itu buruk… contohnya T0GEL62,nggak semua yang bikin nagih itu buruk contohnya t0gel62
1,Siapa sih yang pertama kali ngenalin T0GEL62 ke FYP ini? 😅,siapa sih yang pertama kali ngenalin t0gel62 ke fyp ini
1,"Iseng scroll, nemu T0GEL62… yaudah, nasib 😭",iseng scroll nemu t0gel62 yaudah nasib
0,Br ini gue mau gebukin radit 😂😂😂,br ini gue mau gebukin radit <laugh> <laugh> <laugh>
0,"Gimana saya yah, yang tiap hari tidurnya jam 4 subuh, bangun jam 8 pagi, job, smpai jam 11 malam, itu gak bisa lngsung tidur, tidurnya jam 4 subuh lagi,,,
Gak sehat itu yah",gimana saya yah yang tiap hari tidurnya jam 4 subuh bangun jam 8 pagi job smpai jam 11 malam itu gak bisa lngsung tidur tidurnya jam 4 subuh lagi gak sehat itu yah
0,Bang radit mewakili aku yg tidak pernah ke club/dugem,bang radit mewakili aku yg tidak pernah ke club dugem
0,Bang undang Jadi Ginimi dong,bang undang jadi ginimi dong
0,38:27 thumbnail nya wkwkw,38 27 thumbnail nya wkwkw
0,"Aing ga pernah clubbing, tapi aing suka joget² 😂",aing ga pernah clubbing tapi aing suka joget2 <laugh>
0,part paling lucu di menit 42.00,part paling lucu di menit 42 00
0,Nyambung banget dah ni berdua 😂🤣🤣🤣,nyambung banget dah ni berdua <laugh> <laugh> <laugh> <laugh>
0,Sebatas inter Milan 😭 anj..,sebatas inter milan anj
0,izin bang Radit ambil vidio,izin bang radit ambil vidio
0,13:43 gw ampe hampir keselek susu ultramilk😂,13 43 gw ampe hampir keselek susu ultramilk <laugh>
0,Ni org effortless funny bgt anjirrr,ni org effortless funny bgt anjirr
1,(っ◔◡◔)っ ♥ yang  pasti kasih wede = sodaslot88 ♥,っ っ yang pasti kasih wede sodaslot88
1,(っ◔◡◔)っ ♥ yang  pasti kasih wede = sodaslot88 ♥,っ っ yang pasti kasih wede sodaslot88
0,"nah itu lah gue ga pernah bisa relate sama dunia malam, krn yaaa emg mending tdr enak d rmh wkwkwkwkw.",nah itu lah gue ga pernah bisa relate sama dunia malam krn yaa emg mending tdr enak d rmh wkwkwkwkw
0,"""Nyentil mata sendiri"" petcah bet si bang wkwkwkwkwk",nyentil mata sendiri petcah bet si bang wkwkwkwkwk
0,kalau penasaran langsung ke club aja mas radit,kalau penasaran langsung ke club aja mas radit
0,"gw temenan sama circle yang tiap hari nya mereka ngobat , mabok , club , padahal mereka kelahiran tahun 2000an semua , cuman saya yang klahiran 96 , tiap mereka ngajak ke club selalu gw tolak meskipun penasaran 😅",gw temenan sama circle yang tiap hari nya mereka ngobat mabok club padahal mereka kelahiran tahun 2000an semua cuman saya yang klahiran 96 tiap mereka ngajak ke club selalu gw tolak meskipun penasaran
0,Radit saluuut... Mabok.. mau tanya jenis minuman yg kalian paling balnggain di clube coba sama ngga kaya yg kami minum tiap hari ... (TKI ... Di taiwan...,radit saluut mabok mau tanya jenis minuman yg kalian paling balnggain di clube coba sama ngga kaya yg kami minum tiap hari tki di taiwan
0,"aku pernah ke club 3,4x tp g tau knp g dapet enaknya.... apa krn g suka keramaian ya.... tp suka musiknya😂😂😂",aku pernah ke club 3 ax tp g tau knp g dapet enaknya apa krn g suka keramaian ya tp suka musiknya <laugh> <laugh> <laugh>
0,Bang kita buruh pabrik juga kerja malam masuk jam 22.30-06.30...tapi kuat....ternyata kita sama dg king Alloy... 😂😂😂,bang kita buruh pabrik juga kerja malam masuk jam 22 30 06 30 tapi kuat ternyata kita sama dg king alloy <laugh> <laugh> <laugh>
0,tapi kan lu dah putus 42:09,tapi kan lu dah putus 42 09
1,Main bentar doang langsung cair gede di ⚡𝙐𝙇𝙏𝙄𝙈𝘼𝙎𝙇𝙊𝙏⚡rezeki anak senja banget,main bentar doang langsung cair gede di <hype> ultimaslot <hype> rezeki anak senja banget
0,"privat privat, pukblik pablik",privat privat pukblik pablik
0,"Pertanyaan babang radit, emang ngeselinn😅😅😅😅",pertanyaan babang radit emang ngeselinn
0,Sebenarnya suka dengan becandaan mereka yg bikin gk sreg  pada ngomong joroknya si,sebenarnya suka dengan becandaan mereka yg bikin gk sreg pada ngomong joroknya si
0,Menit 48.skian scond pcah sih...gagp natrul tba2 blng gak lah😅😅😅😅 njir mpe gw ulah2 dah,menit 48 skian scond pcah sih gagp natrul tba2 blng gak lah njir mpe gw ulah2 dah
0,"""semua pekerjaan cape"" salut ini orang ga pernah ngerasa si paling paling.",semua pekerjaan cape salut ini orang ga pernah ngerasa si paling paling
0,"pertanyaan bang radit adalah pertanyaanku kalo ke clubbing dan teman2nya.
maaf ya loyyy hahahhaha",pertanyaan bang radit adalah pertanyaanku kalo ke clubbing dan teman2nya maaf ya loyy hahahhaha
0,sumpah ini lucu banget wkwkwkwk,sumpah ini lucu banget wkwkwkwk
0,Cpe bgt lawati iklan nya,cpe bgt lawati iklan nya
1,support terus konten konten keren gini bang 𝐅𝐈𝐆𝐔𝐑𝟒𝐃 jadi makin semangat nonton nya🥰,support terus konten konten keren gini bang figur4d jadi makin semangat nonton nya
0,Dari awal udah capek bgt ketawa mulu 😂😂😂😂,dari awal udah capek bgt ketawa mulu <laugh> <laugh> <laugh> <laugh>
0,"seru banget, maksih bang radit 🔥🔥🔥",seru banget maksih bang radit <hype> <hype> <hype>
0,Dulu sering banget kerja smpe blackout. jam 12 crowd naik tp jam 11 udah hilang dr lane wkwkkw (minum dr jam 6 sore),dulu sering banget kerja smpe blackout jam 12 crowd naik tp jam 11 udah hilang dr lane wkwkkw minum dr jam 6 sore
0,Kesini gegara mic dari mantan 😂,kesini gegara mic dari mantan <laugh>
0,"gapernah nnton podcast radit,ini first😂",gapernah nnton podcast radit ini first <laugh>
0,club tuh legal ga sih,club tuh legal ga sih
1,💥 Setiap spin penuh kejutan! Disini tempatnya pecah super luar biasa 🔥 𝐋𝐈𝐆𝐀𝐊𝐄𝐌𝐁𝐀𝐑,<hype> setiap spin penuh kejutan disini tempatnya pecah super luar biasa <hype> ligakembar
0,Mending lu ke club langsung,mending lu ke club langsung
0,Koment² dsni bagus² bgt. Tp video ini muncul d FB astaghfirullah komennya ancur bgt,koment2 dsni bagus2 bgt tp video ini muncul d fb astaghfirullah komennya ancur bgt
1,"Mimpi apa aku semalam, modal receh bisa cair 25jt di ⚡𝙇𝘿𝘽𝙋𝙇𝘼𝙔⚡ mantap joss",mimpi apa aku semalam modal receh bisa cair 25jt di <hype> ldbplay <hype> mantap joss
0,"Kaaa,,,iklannya banyak bangeeetttt😵‍💫😵‍💫udah up lucu,,kepotong iklan nih",kaa iklannya banyak bangeett udah up lucu kepotong iklan nih
0,"Ya ampun ni episode terkocak yg gw tonton , jam 12 ada MC bir GK ngantuk, 😂😂😂 ngakak",ya ampun ni episode terkocak yg gw tonton jam 12 ada mc bir gk ngantuk <laugh> <laugh> <laugh> ngakak
0,stiap podcst yg ngundg alot rata2 trending ih,stiap podcst yg ngundg alot rata2 trending ih
0,sepanjang video ngakakk mulu gue nontonnya 😂,sepanjang video ngakakk mulu gue nontonnya <laugh>
0,ke club boleh bawa gitar acoustic bang?,ke club boleh bawa gitar acoustic bang
0,Nunduk sama yg sulap itu attitude tanoa disadari wkwlpun ngonong kadang nge gas😂😂,nunduk sama yg sulap itu attitude tanoa disadari wkwlpun ngonong kadang nge gas <laugh> <laugh>
0,25:40 sampe detik 50 dengerin deh ada suara cewe,25 40 sampe detik 50 dengerin deh ada suara cewe
0,Bang radit ngga beneran ngga paham dunia malem apa emang cuma bersikap gitu biar obrolan di podcast lebih menarik sih ya😂,bang radit ngga beneran ngga paham dunia malem apa emang cuma bersikap gitu biar obrolan di podcast lebih menarik sih ya <laugh>
0,Ngumpul sini yg kepanggil dari TikTok,ngumpul sini yg kepanggil dari tiktok
0,Sory ini 10.00 ge ulang berkali kali😂,sory ini 10 00 ge ulang berkali kali <laugh>
0,"disini bang radit lagi stand up dah, yg lucu dianya soalnya wkwk",disini bang radit lagi stand up dah yg lucu dianya soalnya wkwk
0,Ini orang ekspresi nya lucu banget😭😂,ini orang ekspresi nya lucu banget <laugh>
0,Buat mas dika! Apakah videonya di potong? Soal nya durasi cmn 50menitan padahal asik bngt obrolan Kalian saling menghargai bercanda sewajarnya ga merendah orang lain juga😊😊 asik sumpah,buat mas dika apakah videonya di potong soal nya durasi cmn 50menitan padahal asik bngt obrolan kalian saling menghargai bercanda sewajarnya ga merendah orang lain juga asik sumpah
0,Jgn ngomelin bang radit gw! Idola gw tuh,jgn ngomelin bang radit gw idola gw tuh
0,Terimakasih edukasinya bang,terimakasih edukasinya bang
0,"gue kebayang bgt endingnya pasti dia blg ""udh ni bang closingnya gt doang?""",gue kebayang bgt endingnya pasti dia blg udh ni bang closingnya gt doang
0,ni org diem doang lucu. natural bet lucunya.,ni org diem doang lucu natural bet lucunya
0,seumur idup ga pernah party anjir 😢,seumur idup ga pernah party anjir
0,Semakin gak koneknya 2 manusia ini semakin lucu ajg 😂😂,semakin gak koneknya 2 manusia ini semakin lucu ajg <laugh> <laugh>
0,Secara gk langsung radit edukasi buat ke club 😂,secara gk langsung radit edukasi buat ke club <laugh>
1,"Baru juga daftar, eh langsung dapet 15jt di ⚡𝙐𝙇𝙏𝙄𝙈𝘼𝙎𝙇𝙊𝙏⚡",baru juga daftar eh langsung dapet 15jt di <hype> ultimaslot <hype>
0,"kingsss, sampe 5jt view",kingss sampe sjt view
1,"Main santai, hasil mantap – itu 💎ＪＡＲＵＭ７７💎",main santai hasil mantap itu jarum77
1,"Baru main 2 spin, saldo udah naik di 💎ＪＡＲＵＭ７７💎",baru main 2 spin saldo udah naik di jarum77
1,💥ＪＡＲＵＭ７７💥 Bener-bener lain dari yang lain,<hype> jarum77 <hype> bener bener lain dari yang lain
0,"Haha Bilang Celana Pendek Dan Sendal .. Jadi Nostalgia Di Salah Satu Clubbing di Jateng , Masuk Pake Sendal dan Celana Pendek + Hoodie Dan Topi Alhasil Distop Di Pintu Masuk Dengan Adu Argumen Kecil dan Tetep Bisa Masuk dan Alhasil Dipantau All Security Internal Club Tsb. .Saat Di Dalam Cuma Saya Yang Celana Pendek dan Pake Sendal , Dingin Poll Euy 😅😂",haha bilang celana pendek dan sendal jadi nostalgia di salah satu clubbing di jateng masuk pake sendal dan celana pendek hoodie dan topi alhasil distop di pintu masuk dengan adu argumen kecil dan tetep bisa masuk dan alhasil dipantau all security internal club tsb saat di dalam cuma saya yang celana pendek dan pake sendal dingin poll euy <laugh>
0,Kak.. tolong undang Cast COC season 2 terutama Lutfi. eksposurenya baru tinggi,kak tolong undang cast coc season 2 terutama lutfi eksposurenya baru tinggi
1,Seru banget ya kumpul bareng teman tapi lebih seru dan penasaran lagi kalau sambil main game bareng di 𝐓𝐀𝐊𝐉𝐔𝐁𝟒𝐃,seru banget ya kumpul bareng teman tapi lebih seru dan penasaran lagi kalau sambil main game bareng di takjub4d
0,Bang radit undang anak anak coc s 2 bang,bang radit undang anak anak coc s 2 bang
0,seru banget banget bangett ak nonton dari awal sampai akhir tanpa skip sambil lipet baju wkwk,seru banget banget bangett ak nonton dari awal sampai akhir tanpa skip sambil lipet baju wkwk
1,Dari modal receh jadi sultan di 💎ＪＡＲＵＭ７７💎,dari modal receh jadi sultan di jarum77
0,gawat itu mic akan jadi masalah nih,gawat itu mic akan jadi masalah nih
0,"radit is me, me is radit lmao",radit is me me is radit lmao
0,"bang izin untuk potong potong videonya yakk, maaciwww",bang izin untuk potong potong videonya yakk maaciww
1,Siapa yang udah coba The Border hari ini? Gila sih RTP-nya 93% di game 𝐋𝐈𝐆𝐀𝐊𝐄𝐌𝐁𝐀𝐑 ! 🔥,siapa yang udah coba the border hari ini gila sih rtp nya 93 di game ligakembar <hype>
0,Dan pertanyaanku mirip bgt sama yg ditanyakan bang radit wkwkk,dan pertanyaanku mirip bgt sama yg ditanyakan bang radit wkwkk
0,"Dia merasa ga lucu krn keseharian nya mmng gitu, tanpa harus berusaha utk ngelucu... Tp org nganggep nya lucu! Gmn dong 😅",dia merasa ga lucu krn keseharian nya mmng gitu tanpa harus berusaha utk ngelucu tp org nganggep nya lucu gmn dong
1,hanya di TAKJUB4D yang dikasih menang tiap hari dan gak bakal buat dompet tipis,hanya di takjub4d yang dikasih menang tiap hari dan gak bakal buat dompet tipis
0,hidup isinya klarifikasi,hidup isinya klarifikasi
0,"Kyk ga ada artis lain aj, pemabuk di undang aduh aduh",kyk ga ada artis lain aj pemabuk di undang aduh aduh
0,gak pernah ke club mana ngerti aku hahaha,gak pernah ke club mana ngerti aku hahaha
1,Dari modal receh jadi sultan di 💎ＪＡＲＵＭ７７💎,dari modal receh jadi sultan di jarum77
1,💎ＪＡＲＵＭ７７💎setiap hari auto JP,jarum77 setiap hari auto jp
1,Cuan deras tiada henti bareng 💎ＪＡＲＵＭ７７💎,cuan deras tiada henti bareng jarum77
1,Cuan deras tiada henti bareng 💎ＪＡＲＵＭ７７💎,cuan deras tiada henti bareng jarum77
0,6:32 mana ga siap gw😂,6 32 mana ga siap gw <laugh>
0,10 x ada kali gua nonton ini,10 x ada kali gua nonton ini
0,Cukup seru untuk mengalihkan kesedihan yang saya alami yaitu Kejadian Motor PCX Saya Di curi oleh pencuri di teras Rumah saya pada tanggal 16/08/2025 dijam 02:00 WIB Pagi,cukup seru untuk mengalihkan kesedihan yang saya alami yaitu kejadian motor pcx saya di curi oleh pencuri di teras rumah saya pada tanggal 16 08 2025 dijam 02 00 wib pagi
0,"06:30 - 06:40 pecahh bangett aslii,cuma ngmgin ke club malah jdi kemana² 🤣🤣",06 30 06 40 pecahh bangett aslii cuma ngmgin ke club malah jdi kemana2 <laugh> <laugh>
0,6:35 nah ini spontan nya 😂,6 35 nah ini spontan nya <laugh>
0,Orang Palembang memang banyak klakarnya😂😂,orang palembang memang banyak klakarnya <laugh> <laugh>
0,"Bang Radit
Gampangnya gini

Alyo adalah instruktur senam spesialisasi Club",bang radit gampangnya gini alyo adalah instruktur senam spesialisasi club
0,"jir gw cuma sekali ke club , berisik gak cocok ama gw 😂, kalo minum mah mending di rumah ae lah, kalo musik nya metal si oke 😂",jir gw cuma sekali ke club berisik gak cocok ama gw <laugh> kalo minum mah mending di rumah ae lah kalo musik nya metal si oke <laugh>
0,Banggg  pleaseeee undang LUTHFI COC 🥹🥹🥹🥹,bangg pleasee undang luthfi coc
0,Jadi tau ke club itu kayaa gimana wkwkwk,jadi tau ke club itu kayaa gimana wkwkwk
0,Pantes karen nanyaa tu bang 😁😁,pantes karen nanyaa tu bang
0,2 minggu 5 juta loh yg nonton wk apalagi 1 tahun,2 minggu 5 juta loh yg nonton wk apalagi 1 tahun
0,Radit ngsih pertanyaan ky bocah yaaa😂😂,radit ngsih pertanyaan ky bocah yaa <laugh> <laugh>
0,Kesel kali sama Adit ini😡,kesel kali sama adit ini
0,orong dunia mlm vs org perpus 😂,orong dunia mlm vs org perpus <laugh>
0,"suka banget dah sama kepribadian bang randi,sumpah klo ketemu orang yang kayalu bakalan gw jadiin temen setia bang,kaya nya kepribadian kita cocok🤣",suka banget dah sama kepribadian bang randi sumpah klo ketemu orang yang kayalu bakalan gw jadiin temen setia bang kaya nya kepribadian kita cocok <laugh>
0,40:17 48:48 ngakak bgt😂,40 17 48 48 ngakak bgt <laugh>
0,"Udh mau tidur asli mataku sepet bgt, malah nonton ini ngabrut bgt tolong 😂🤣 perutku kaku",udh mau tidur asli mataku sepet bgt malah nonton ini ngabrut bgt tolong <laugh> <laugh> perutku kaku
0,Mending nonton perang makanan,mending nonton perang makanan
0,"Udah deh loy,ajakin bang radit ke club aje daripada capek2 ngejelesin.",udah deh loy ajakin bang radit ke club aje daripada capek2 ngejelesin
0,jujur kaget bgt waktu bahas barang ilegal kek eh anjirr kagak takut lu pada??? gw yakin semua ngerti mksdnya apa😭 untung bng radit cepet mikir lgsg klarif buat nyari aman😭😭😭,jujur kaget bgt waktu bahas barang ilegal kek eh anjirr kagak takut lu pada gw yakin semua ngerti mksdnya apa untung bng radit cepet mikir lgsg klarif buat nyari aman
0,"Circle Dugem Muka alien semua, pantes yg cakep di panda unyu2 putih bersih",circle dugem muka alien semua pantes yg cakep di panda unyu2 putih bersih
0,BANG TOLONG UNDANG FURKY TM,bang tolong undang furky tm
0,Bang radit selanjutnya request ajak anak coc yang bernama Christopher govert dong mau tau seberapa seru dia,bang radit selanjutnya request ajak anak coc yang bernama christopher govert dong mau tau seberapa seru dia
0,ᥲᥣ᥆ᥡ kᥲᥡᥲᥒ⍴ᥲᥣᥲძsk ⍴ᥣძᥱk ᑲᥣᥲmᥲ ᑲᥣᥱm᥆😅😅😅😅😅𝗍⍴ ᥣᥙᥴᥙ ⍴іᥒ𝗍ᥱr 😅😅😅😅ᥲᥒᥲk ᥲzᥲ ᥒᥲᥒgіs ᥣіᥲ𝗍 mᥙkᥲ ძіᥲ ᥲᥒᥲk r᥆ᥡ😅😅😅,ᥲᥣ᥆ᥡ kᥲᥡᥲᥒ ᥲᥣᥲძsk ᥣძᥱk ᑲᥣᥲmᥲ ᑲᥣᥱm᥆ t ᥣᥙᥴᥙ іᥒtᥱr ᥲᥒᥲk ᥲzᥲ ᥒᥲᥒgіs ᥣіᥲt mᥙkᥲ ძіᥲ ᥲᥒᥲk r᥆ᥡ
0,bangke...bahas privetttt & publiqqq...bikin ketawa wkwkwkwkwkk,bangke bahas privett publiqq bikin ketawa wkwkwkwkwkk
0,Saya jam 9-10 udah ngantuk an so seperti denger hal baru di sini 😅😅😅,saya jam 9 10 udah ngantuk an so seperti denger hal baru di sini
0,ajakin loyy bang Radit ke club😂,ajakin loyy bang radit ke club <laugh>
0,nih orang siapa?  terkenal karna apa?,nih orang siapa terkenal karna apa
0,Muka nya emg kocag bro 😂,muka nya emg kocag bro <laugh>
0,Inti nya radit cocok di KTV.,inti nya radit cocok di ktv
0,"GOKIL 4,6jt ngalahin king yb inima😂",gokil 4 gjt ngalahin king yb inima <laugh>
0,Sumpah mood bgt nonton kalian😂😂🎉🎉,sumpah mood bgt nonton kalian <laugh> <laugh>
0,21:15 jadi ga ada harga dirinya 😅,21 15 jadi ga ada harga dirinya
0,"Kenapa gua ngerasa kali ini Radit beneran gob***,ga mungkin pura2..",kenapa gua ngerasa kali ini radit beneran gob ga mungkin pura2
0,Ini bukan sesuatu yg hsrus dipelajari sih,ini bukan sesuatu yg hsrus dipelajari sih
0,Bang radit aja ketawa apalagi aku. Wkwkwkwkwk,bang radit aja ketawa apalagi aku wkwkwkwkwk
0,LUUUUUCUUUUUUUUUUUUUUUUUUU ❤❤❤❤,luucuu <heart> <heart> <heart> <heart>
0,Biar pecah aja kuping saya udah 🤣🤣🤣🤣,biar pecah aja kuping saya udah <laugh> <laugh> <laugh> <laugh>
0,SUKA SEKALI EPISODE INI,suka sekali episode ini
0,"Ngomong kasarnya, kan buat lucu²an,itu juga sama temenan yg uda akrab😎😎,🤩, maaf kalo slah",ngomong kasarnya kan buat lucu2an itu juga sama temenan yg uda akrab maaf kalo slah
0,"King Alloy ngerendaah,🤦🏻‍♂️,😎🤩",king alloy ngerendaah
0,"NGAKAAAAAKKKKK ""DJ AYO MAINKAN INI......."" HAHAHHAHAHAHA",ngakaakk dj ayo mainkan ini hahahhahahaha
0,baru ini podcast yang aku tonton lebih dari sekali karna seru dan lucu,baru ini podcast yang aku tonton lebih dari sekali karna seru dan lucu
